"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"J1","TPDD_RS-232C","datasheets/M20-783.pdf","000_LOCAL:2x4x2.54mm_edge_mount","1","","M20-7830442"
"Q1,Q2,Q3","DTA114EKA","datasheets/dta114ee3-e.pdf","000_LOCAL:SC-59","3","","DTA114EKA"
