"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","367-1184-ND","30-9506-29","CABLE ASSY DB09 TO DB25 1.83M","","1","0","6.31000","6.31"
"2","3","DTA114EKAT146CT-ND","DTA114EKAT146","TRANS PREBIAS PNP 50V SMT3","","3","0","0.15000","0.45"
"3","1","A22V1/4B-0.5-ND","F221V1/4 BK203","HEAT SHRINK TUBE 1/4 BK 0.5'","","0","1","0.94000","0.94"
"4","1","952-1789-ND","M20-7830442","CONN RCPT 8POS 0.1 GOLD PCB","","1","0","2.01000","2.01"
"5","10","3240781-ND","3240781","CBL TIE LOCKING BLACK 18LB 3.86""","","10","0","0.01400","0.14"
