"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","367-1184-ND","30-9506-29","CABLE ASSY DB09 TO DB25 1.83M","","1","0","5.45000","5.45"
"2","3","DTA114EKAT146CT-ND","DTA114EKAT146","TRANS PREBIAS PNP 50V SMT3","","3","0","0.27000","0.81"
"3","1","732-61300821821-ND","61300821821","WR-PHD 2.54 MM DUAL SOCKET HEADE","","1","0","0.38000","0.38"
"4","10","277-16906-ND","3240734","CABLE TIE","","10","0","0.01200","0.12"
"5","1","A22V1/4B-0.5-ND","F221V1/4 BK203","HEAT SHRINK TUBE 1/4 BK 0.5'","","0","1","0.94000","0.94"
