"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","SAM1180-02-ND","SSQ-102-01-G-S","CONN RCPT 2POS 0.1 GOLD PCB","","2","0","0.44000","0.88"
"2","1","SAM1179-03-ND","SSQ-103-01-G-D","CONN RCPT 6POS 0.1 GOLD PCB","","1","0","1.03000","1.03"
"3","3","DTA114EKAT146CT-ND","DTA114EKAT146","TRANS PREBIAS PNP 200MW SMT3","","3","0","0.19000","0.57"
"4","1","AE9869-ND","AK129-2","CABLE ASSY DB09 SHLD BEIGE 2M","","1","0","3.00000","3.00"
